time,data
38.2,7.132551929
38.3,7.155279406
38.4,7.178184611
38.5,7.200836261
38.6,7.222989248
38.7,7.244752652
38.8,7.266506451
38.9,7.288630144
39,7.311236996
39.1,7.334099905
39.2,7.356817064
39.3,7.379096744
39.4,7.40095944
39.5,7.422717434
39.6,7.444750415
39.7,7.467238277
39.8,7.490039022
39.9,7.512794473
40,7.53518531
40.1,7.557153923
40.2,7.578939657
40.3,7.600905414
40.4,7.623281102
40.5,7.646005224
40.6,7.668773619
40.7,7.691257183
40.8,7.713332826
40.9,7.735165651
41,7.757087718
41.1,7.779362251
41.2,7.802000641
41.3,7.824759378
41.4,7.847315535
41.5,7.869494462
41.6,7.891389195
41.7,7.913290092
41.8,7.935477647
41.9,7.958026257
42,7.980756131
42.1,8.003364149
42.2,8.025638536
42.3,8.047605378
42.4,8.069505726
42.5,8.091622595
42.6,8.114081955
42.7,8.13676757
42.8,8.159407119
42.9,8.181765933
43,8.203810598
43.1,8.225728435
43.2,8.247792015
43.3,8.270166618
43.4,8.292796582
43.5,8.315448579
43.6,8.337878477
43.7,8.36000251
43.8,8.381952812
43.9,8.40398068
44,8.426278267
44.1,8.448845173
44.2,8.471492473
44.3,8.49397869
44.4,8.516179926
44.5,8.538174328
44.6,8.56018343
44.7,8.582414219
44.8,8.604914464
44.9,8.627542368
45,8.650069556
45.1,8.672342691
45.2,8.69438939
45.3,8.71639536
45.4,8.738571266
45.5,8.761004716
45.6,8.783601312
45.7,8.806154293
45.8,8.828491522
45.9,8.850595353
46,8.872611979
46.1,8.89474586
46.2,8.917115408
46.3,8.939671738
46.4,8.96223616
46.5,8.984627842
46.6,9.006790488
46.7,9.028829329
46.8,9.050934289
46.9,9.07324533
47,9.095755409
47.1,9.118318276
47.2,9.1407536
47.3,9.162973919
47.4,9.185044077
47.5,9.207132845
47.6,9.229392712
47.7,9.251853409
47.8,9.274403483
47.9,9.296871096
48,9.319145537
48.1,9.341253558
48.2,9.363337966
48.3,9.38555535
48.4,9.407966158
48.5,9.430494236
48.6,9.452982819
48.7,9.475305883
48.8,9.497455798
48.9,9.519546363
49,9.54173075
49.1,9.56409347
49.2,9.586592528
49.3,9.609091295
49.4,9.631456034
49.5,9.653649494
49.6,9.675755119
49.7,9.69791626
49.8,9.72023462
49.9,9.742699845
50,9.765198955
50.1,9.787597464
50.2,9.809833975
50.3,9.831961754
50.4,9.854109194
50.5,9.876388437
50.6,9.898817158
50.7,9.92130803
50.8,9.943731921
50.9,9.966009139
51,9.988164276
51.1,10.01030695
51.2,10.0325534
51.3,10.05494493
51.4,10.07742046
51.5,10.0998613
51.6,10.12217538
51.7,10.14436119
51.8,10.16650712
51.9,10.18872775
52,10.21108315
52.1,10.23353786
52.2,10.25598755
52.3,10.27833348
52.4,10.3005515
52.5,10.32270751
52.6,10.34490958
52.7,10.36723141
52.8,10.38966143
52.9,10.41211253
53,10.43448456
53.1,10.45673468
53.2,10.4789063
53.3,10.50109694
53.4,10.52338893
53.5,10.54579202
53.6,10.56823798
53.7,10.59062991
53.8,10.61291062
53.9,10.63510196
54,10.65728792
54.1,10.67955465
54.2,10.70193006
54.3,10.72436542
54.4,10.74677098
54.5,10.7690796
54.6,10.79129336
54.7,10.81348073
54.8,10.83572733
54.9,10.85807565
55,10.88049612
55.1,10.90290923
55.2,10.92524218
55.3,10.94747973
55.4,10.96967375
55.5,10.9919056
55.6,11.01422855
55.7,11.03663106
55.8,11.0590461
55.9,11.08139918
56,11.10366064
56.1,11.1258656
56.2,11.14808803
56.3,11.17038825
56.4,11.19277094
56.5,11.21518292
56.6,11.23755157
56.7,11.259836
56.8,11.28205513
56.9,11.30427322
57,11.32655404
57.1,11.34891616
57.2,11.37132088
57.3,11.39370043
57.4,11.41600597
57.5,11.43824146
57.6,11.46045985
57.7,11.48272501
57.8,11.50506684
57.9,11.52746097
58,11.54984687
58.1,11.57217096
58.2,11.59442401
58.3,11.61664669
58.4,11.63890018
58.5,11.66122288
58.6,11.68360397
58.7,11.70599198
58.8,11.72833157
58.9,11.75060241
59,11.77283271
59.1,11.79507851
59.2,11.81738393
59.3,11.83975046
59.4,11.86213678
59.5,11.88448852
59.6,11.90677658
59.7,11.92901703
59.8,11.95125897
59.9,11.97354949
60,11.99590077
60.1,12.01828218
60.2,12.0406426
60.3,12.06294661
60.4,12.08519898
60.5,12.10744056
60.6,12.12971895
60.7,12.15205505
60.8,12.17442896
60.9,12.19679466
61,12.2191128
61.1,12.2413781
61.2,12.26362238
61.3,12.28589157
61.4,12.30821326
61.5,12.33057774
61.6,12.35294552
61.7,12.37527557
61.8,12.39755409
61.9,12.41980363
62,12.4420666
62.1,12.46437517
62.2,12.48672897
62.3,12.50909594
62.4,12.53143545
62.5,12.55372687
62.6,12.57598366
62.7,12.59824327
62.8,12.62054045
62.9,12.64288295
63,12.66524665
63.1,12.68759304
63.2,12.7098965
63.3,12.73216195
63.4,12.75442085
63.5,12.77670863
63.6,12.79903981
63.7,12.82139822
63.8,12.84374896
63.9,12.86606317
64,12.88833812
64.1,12.91059866
64.2,12.93287922
64.3,12.95519955
64.4,12.97755116
64.5,12.99990383
64.6,13.02222718
64.7,13.04451196
64.8,13.06677609
64.9,13.08905164
65,13.11136203
65.1,13.13370583
65.2,13.15605825
65.3,13.17838894
65.4,13.20068336
65.5,13.22295265
65.6,13.24522534
65.7,13.26752701
65.8,13.28986246
65.9,13.31221273
66,13.33454886
66.1,13.35685236
66.2,13.37912793
66.3,13.40139976
66.4,13.42369418
66.5,13.44602119
66.6,13.46836776
66.7,13.49070743
66.8,13.51301909
66.9,13.53530164
67,13.5575744
67.1,13.57986317
67.2,13.60218202
67.3,13.6245237
67.4,13.64686511
67.5,13.66918377
67.6,13.6914736
67.7,13.7137488
67.8,13.73603355
67.9,13.75834488
68,13.78068086
68.1,13.80302233
68.2,13.82534669
68.3,13.84764372
68.4,13.86992257
68.5,13.89220493
68.6,13.91450961
68.7,13.93683942
68.8,13.95917952
68.9,13.98150816
69,14.00381202
69.1,14.02609541
69.2,14.04837688
69.3,14.07067597
69.4,14.09299949
69.5,14.11533702
69.6,14.13766853
69.7,14.15997858
69.8,14.18226708
69.9,14.20454903
70,14.2268437
70.1,14.24916111
70.2,14.27149514
70.3,14.29382815
70.4,14.31614356
70.5,14.33843745
70.6,14.36072102
70.7,14.3830125
70.8,14.40532422
70.9,14.42765409
71,14.44998735
71.1,14.47230717
71.2,14.49460643
71.3,14.51689257
71.4,14.53918207
71.5,14.56148872
71.6,14.58381404
71.7,14.60614646
71.8,14.62846963
71.9,14.65077402
72,14.67306344
72.1,14.69535208
72.2,14.71765444
72.3,14.73997509
72.4,14.76230573
72.5,14.78463121
72.6,14.80694029
72.7,14.82923344
72.8,14.85152227
72.9,14.87382119
73,14.89613725
73.1,14.91846539
73.2,14.94079216
73.3,14.96310534
73.4,14.98540247
73.5,15.00769237
73.6,15.02998875
73.7,15.05230052
73.8,15.07462563
73.9,15.09695274
74,15.11926931
74.1,15.14157045
74.2,15.16386214
74.3,15.18615689
74.4,15.20846481
74.5,15.23078658
74.6,15.25311318
74.7,15.27543239
74.8,15.29773737
74.9,15.32003142
75,15.3423254
75.1,15.36463001
75.2,15.38694831
75.3,15.4092737
75.4,15.43159475
75.5,15.45390328
75.6,15.47620006
75.7,15.49849404
75.8,15.52079598
75.9,15.54311085
76,15.56543447
76.1,15.58775659
76.2,15.61006825
76.3,15.63236796
76.4,15.65466263
76.5,15.67696257
76.6,15.6992742
76.7,15.72159562
76.8,15.74391811
76.9,15.76623238
77,15.78853507
77.1,15.81083098
77.2,15.8331296
77.3,15.8554383
77.4,15.87775726
77.5,15.90007948
77.6,15.9223958
77.7,15.94470137
77.8,15.96699897
77.9,15.9892969
78,16.01160307
78.1,16.03391946
78.2,16.05624086
78.3,16.07855865
78.4,16.1008669
78.5,16.12316648
78.6,16.14546432
78.7,16.16776841
78.8,16.19008224
78.9,16.21240238
79,16.23472106
79.1,16.25703169
79.2,16.27933344
79.3,16.3016317
79.4,16.32393422
79.5,16.3462456
79.6,16.36856416
79.7,16.3908832
79.8,16.41319583
79.9,16.43549979
80,16.45779891
80.1,16.48010036
80.2,16.50240952
80.3,16.52472627
80.4,16.54704518
80.5,16.56935941
80.6,16.59166553
80.7,16.61396585
80.8,16.6362667
80.9,16.65857392
81,16.68088877
81.1,16.70320713
81.2,16.72552253
81.3,16.74783067
81.4,16.77013243
81.5,16.79243314
81.6,16.81473875
81.7,16.83705168
81.8,16.85936916
81.9,16.88168529
82,16.90399523
82.1,16.92629858
82.2,16.94859954
82.3,16.97090392
82.4,16.99321502
82.5,17.01553135
82.6,17.03784781
82.7,17.06015929
82.8,17.08246428
82.9,17.10476582
83,17.12706934
83.1,17.14937874
83.2,17.17169376
83.3,17.19401018
83.4,17.2163229
83.5,17.2386295
83.6,17.26093189
