time,distur_data,data
586.1,3334.740334,80.00919337
586.2,-3019.200642,80.01023212
586.3,-3705.184562,80.01093279
586.4,-3036.925615,80.01079793
586.5,-1608.808426,80.0098939
586.6,756.7919724,80.00879622
586.7,-597.3191679,80.00816252
586.8,856.7459257,80.00850878
586.9,-671.2273442,80.00948774
587,-1317.973275,80.01048575
587.1,-1176.831003,80.01082455
587.2,1001.326514,80.01026687
587.3,-705.2723345,80.00910902
587.4,-3512.125783,80.00827306
587.5,1701.966681,80.00847061
587.6,4954.006108,80.00925977
587.7,1980.664449,80.00994193
587.8,-972.6011315,80.01021018
587.9,3492.782488,80.01001228
588,3195.27184,80.0092436
588.1,2933.82177,80.00848912
588.2,-1257.506034,80.00827842
588.3,-4903.921117,80.00894992
588.4,-202.213924,80.01016667
588.5,1390.57922,80.01079547
588.6,1464.952043,80.01034853
588.7,1448.979018,80.00915827
588.8,2990.347691,80.00806521
588.9,-1226.35945,80.00774383
589,-1423.282263,80.00861821
589.1,-1104.995355,80.01002587
589.2,-1656.932475,80.01094374
589.3,1935.886772,80.01076059
589.4,-3551.02545,80.00943121
589.5,-2084.746322,80.00820449
589.6,1668.563316,80.0078226
589.7,3543.651276,80.00834918
589.8,-1853.011161,80.00931951
589.9,-3558.575445,80.010326
590,1022.493954,80.01071073
590.1,-4944.118028,80.0099672
590.2,4208.295326,80.00896877
590.3,-1180.450686,80.00791219
590.4,165.3147233,80.00786829
590.5,-1555.444676,80.00874249
590.6,-2358.665437,80.00999847
590.7,-2090.001994,80.01077811
590.8,3336.481461,80.01052618
590.9,-3756.092926,80.00916396
591,1346.194263,80.00806385
591.1,-4513.025498,80.00768687
591.2,-419.5413717,80.00861633
591.3,-1231.83443,80.00993358
591.4,-3441.270985,80.0107803
591.5,2558.556538,80.01068639
591.6,1659.731975,80.00942197
591.7,-4884.693948,80.00798419
591.8,2948.807589,80.00771763
591.9,609.1441985,80.00835103
592,-2113.45537,80.00959731
592.1,-844.3978037,80.01070143
592.2,-1793.88672,80.01081698
592.3,145.90299,80.00994562
592.4,2191.552356,80.00861912
592.5,3420.43904,80.00768972
592.6,-2681.046584,80.00775542
592.7,-349.9295774,80.00907418
592.8,-1266.406829,80.01054503
592.9,-4499.569316,80.01120143
593,-4261.496728,80.01076563
593.1,-2975.506525,80.00954108
593.2,661.8263366,80.00834865
593.3,3315.239217,80.00785839
593.4,-774.4751898,80.00829958
593.5,3395.485835,80.00958174
593.6,-2069.565541,80.01056156
593.7,-3188.04217,80.01087293
593.8,-1424.743196,80.01034345
593.9,4341.101576,80.00927449
594,894.1923249,80.00815237
594.1,-1309.595372,80.00798512
594.2,-369.4128456,80.0089704
594.3,1278.303357,80.01034223
594.4,4444.520608,80.01106217
594.5,-942.1369182,80.01049351
594.6,-4495.183644,80.00935914
594.7,-551.4988236,80.00861753
594.8,959.2719171,80.00856362
594.9,2483.110711,80.00917664
595,3641.71537,80.00995219
595.1,-3689.769394,80.01029837
595.2,-3954.206397,80.0103662
595.3,1653.081084,80.01008618
595.4,3333.778357,80.00937931
595.5,812.8509511,80.00870339
595.6,1585.935641,80.00867388
595.7,4820.32422,80.00924561
595.8,-4810.839845,80.00984597
595.9,4214.728791,80.01056551
596,-3053.211327,80.01037554
596.1,4677.231554,80.00985363
596.2,230.7245765,80.00892937
596.3,-2212.042723,80.00853022
596.4,2197.947557,80.00901906
596.5,904.585638,80.0097924
596.6,3370.818523,80.01039287
596.7,3346.914909,80.01026373
596.8,1598.875735,80.00951853
596.9,2304.482077,80.00877049
597,1430.26687,80.0084851
597.1,-1504.709421,80.00888955
597.2,348.7619131,80.00981865
597.3,1641.472856,80.01048587
597.4,-1765.711199,80.01036184
597.5,3691.879794,80.00971828
597.6,-576.2968006,80.00870262
597.7,4179.673153,80.00827172
597.8,-2233.324357,80.00843103
597.9,4517.532717,80.00939916
598,-3827.62182,80.01008071
598.1,-839.9259978,80.01045605
598.2,3363.754707,80.01004799
598.3,4625.354274,80.00894626
598.4,-1670.716855,80.00788042
598.5,261.817074,80.00790702
598.6,359.5633411,80.00882932
598.7,3181.073297,80.0099728
598.8,4298.900989,80.01036977
598.9,1628.930344,80.00969622
599,-2567.714982,80.00856483
599.1,4414.289714,80.00795114
599.2,967.2315307,80.00786822
599.3,-3739.663846,80.00855899
599.4,-2530.263149,80.00971935
599.5,3867.255416,80.01041436
599.6,-3038.220409,80.00982591
599.7,-3370.41947,80.00876301
599.8,3359.970492,80.0079338
599.9,1024.051433,80.00755031
600,1232.426179,80.00801508
600.1,3386.786249,80.00894112
600.2,1716.482153,80.00954124
600.3,-1084.446193,80.00947789
600.4,3712.83831,80.00891807
600.5,1673.478674,80.00797737
600.6,-3843.934051,80.00743151
600.7,-4999.597748,80.0078998
600.8,1760.652557,80.00903756
600.9,1287.531711,80.00966307
601,-454.5282644,80.00939562
601.1,743.4594332,80.00850651
601.2,-4677.306246,80.00753901
601.3,-1486.074206,80.00743868
601.4,3550.82456,80.00804619
601.5,-1291.62764,80.00866973
601.6,1614.253841,80.00913566
601.7,764.3005651,80.00892605
601.8,-4400.401935,80.00824619
601.9,2444.683461,80.00782458
602,-2205.067755,80.00755505
602.1,-573.763063,80.00789011
602.2,-3235.799488,80.00845799
602.3,-4081.991287,80.00899139
602.4,3972.447444,80.00913527
602.5,4924.194775,80.00837183
602.6,941.5916009,80.00724533
602.7,-4669.964341,80.00674885
602.8,1909.315887,80.00746759
602.9,-127.8816327,80.00849245
603,693.3990147,80.00923443
603.1,3957.240735,80.00911384
603.2,-654.9719794,80.00805825
603.3,1885.942261,80.00706794
603.4,-2968.416898,80.00666253
603.5,-182.7973803,80.00736495
603.6,-2275.571417,80.00847654
603.7,4471.199084,80.00932411
603.8,-2556.998119,80.00895005
603.9,4532.621498,80.00802968
604,-230.4830799,80.00679933
604.1,-3729.123915,80.00640077
604.2,4614.361371,80.00723286
604.3,3571.557928,80.008228
604.4,-2825.901703,80.00877704
604.5,-4929.920584,80.00880897
604.6,2824.745876,80.00836543
604.7,-4496.067082,80.00734497
604.8,4600.548209,80.00688531
604.9,1413.740346,80.0067761
605,734.0019596,80.00729487
605.1,-3629.06584,80.00806777
605.2,-3709.570639,80.00875481
605.3,3246.26754,80.0088433
605.4,18.53744733,80.00791809
605.5,1558.877289,80.00684589
605.6,50.58990561,80.00627131
605.7,264.5435814,80.00666307
605.8,-3816.027217,80.00769678
605.9,4030.563994,80.00883612
606,1689.044794,80.00884528
606.1,-2224.140711,80.00789801
606.2,-1132.925868,80.00685052
606.3,-1085.065094,80.00634797
606.4,3310.967455,80.00672715
606.5,-2569.986646,80.00747188
606.6,-3765.557026,80.00837219
606.7,2283.065434,80.00881106
606.8,1480.752792,80.00816704
606.9,-2987.833227,80.00698393
607,3486.953386,80.00631693
607.1,-4774.435912,80.00625711
607.2,-3944.37557,80.00729059
607.3,-3120.211241,80.00857398
607.4,-1390.325663,80.0091655
607.5,2796.584283,80.00858203
607.6,2192.042818,80.00705293
607.7,1663.640727,80.00572408
607.8,809.6930877,80.00554316
607.9,-1488.274437,80.00665146
608,-3428.457136,80.00835627
608.1,-2079.092575,80.0095347
608.2,-3308.904804,80.00929049
608.3,-2763.032456,80.00789562
608.4,1713.515062,80.00631787
608.5,-952.3493126,80.0054454
608.6,3865.103446,80.00604462
608.7,793.6228047,80.00740821
608.8,-1581.521247,80.00875568
608.9,-627.5958594,80.00924752
609,1996.390958,80.00849452
609.1,3342.828573,80.00692215
609.2,2919.824518,80.00559547
609.3,3490.677824,80.00546676
609.4,-2177.804092,80.00656644
609.5,-2353.382542,80.00838803
609.6,-3300.390592,80.00961058
609.7,335.3205115,80.00943428
609.8,-4268.162828,80.00781697
609.9,4987.35656,80.00617764
610,2501.708943,80.00516338
610.1,-3777.79223,80.00565574
610.2,-3354.00422,80.00758372
610.3,-748.9300872,80.00950796
610.4,2732.024494,80.00995219
610.5,-2864.322051,80.00847417
610.6,-660.7169172,80.00645557
610.7,-4669.227511,80.00517501
610.8,4293.214758,80.00573746
610.9,-3939.569056,80.00723454
611,-2337.132118,80.00908096
611.1,-179.5128338,80.00984927
611.2,2927.802418,80.00892933
611.3,-2424.755212,80.00685954
611.4,-2860.84223,80.00541068
611.5,-2175.355133,80.00558108
611.6,-1193.72397,80.00719093
611.7,-2918.766866,80.00904908
611.8,4285.276411,80.00995518
611.9,2640.635785,80.00892558
612,1165.630899,80.00685726
612.1,758.5270031,80.00529093
612.2,-1436.658626,80.00533098
612.3,4078.477956,80.00703318
612.4,-3020.99476,80.00888217
612.5,-3858.933099,80.00998156
612.6,2911.404869,80.00957984
612.7,1981.625663,80.00764268
612.8,-4817.48797,80.00565155
612.9,2479.68973,80.00534858
613,-3854.706394,80.00650332
613.1,3949.636835,80.00865448
613.2,1546.287791,80.00984395
613.3,-1541.094536,80.00943387
613.4,-1175.870144,80.00788913
613.5,-2849.508365,80.00627994
613.6,-1687.084081,80.00582787
613.7,-4822.148885,80.00676421
613.8,4143.681484,80.00858295
613.9,2854.699501,80.00952542
614,-1065.490579,80.0090788
614.1,2299.834326,80.00778169
614.2,3315.510083,80.00636819
614.3,3777.967281,80.00580349
614.4,-3703.907048,80.00645044
614.5,-1565.751134,80.00821781
614.6,4420.695062,80.00969136
614.7,-1378.085286,80.00955358
614.8,-1479.3951,80.00826623
614.9,-4193.448033,80.00672239
615,718.912592,80.00614833
615.1,2763.934195,80.00666271
615.2,3442.014218,80.00781339
615.3,-67.04509029,80.00876121
615.4,3173.16757,80.00902905
615.5,1427.342997,80.0082528
615.6,-646.2472098,80.00710205
615.7,-1476.855383,80.00648035
615.8,-1508.430092,80.00683801
615.9,-2184.554579,80.00789875
616,4191.185906,80.00893863
